STORE_LOCATION;PRODUCT_CATEGORY;PRODUCT_DETAIL;PRODUCT_TYPE;REVENUE;NUMBER_OF_SALES;TRANSACTION_DATE;DAY_NAME;MONTH_NAME;HOUR_OF_DAY;DAY_CLASSIFICATION;TRANSACTION_TIME;TIME_CATEGORISATIONS
Lower Manhattan;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee;2,5;1;2023/05/28;Sun;May;9;Weekend;09:33:08.000;Morning
Hell's Kitchen;Coffee;Ethiopia Lg;Gourmet brewed coffee;3,5;1;2023/05/28;Sun;May;9;Weekend;09:48:51.000;Morning
Astoria;Tea;Serenity Green Tea Lg;Brewed Green tea;3;1;2023/05/28;Sun;May;10;Weekend;10:13:30.000;Morning
Hell's Kitchen;Tea;Morning Sunrise Chai Lg;Brewed Chai tea;8;1;2023/05/28;Sun;May;10;Weekend;10:39:56.000;Morning
Hell's Kitchen;Bakery;Oatmeal Scone;Scone;3;1;2023/05/28;Sun;May;10;Weekend;10:43:18.000;Morning
Lower Manhattan;Tea;English Breakfast Rg;Brewed Black tea;5;1;2023/05/28;Sun;May;11;Weekend;11:29:08.000;Morning
Astoria;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate;3,75;1;2023/05/28;Sun;May;12;Weekend;12:32:01.000;Afternoon
Hell's Kitchen;Tea;Earl Grey Rg;Brewed Black tea;5;1;2023/05/28;Sun;May;13;Weekend;13:49:53.000;Afternoon
Lower Manhattan;Tea;Earl Grey Rg;Brewed Black tea;2,5;1;2023/05/28;Sun;May;14;Weekend;14:26:08.000;Afternoon
Hell's Kitchen;Coffee;Jamaican Coffee River Rg;Premium brewed coffee;6,2;1;2023/05/28;Sun;May;15;Weekend;15:02:41.000;Afternoon
Lower Manhattan;Coffee;Cappuccino Lg;Barista Espresso;4,25;1;2023/05/28;Sun;May;15;Weekend;15:19:50.000;Afternoon
Astoria;Bakery;Croissant;Pastry;3,5;1;2023/05/28;Sun;May;15;Weekend;15:33:40.000;Afternoon
Astoria;Tea;Peppermint Rg;Brewed herbal tea;2,5;1;2023/05/28;Sun;May;15;Weekend;15:40:14.000;Afternoon
Hell's Kitchen;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee;2;1;2023/05/28;Sun;May;16;Weekend;16:32:25.000;Evening
Astoria;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea;5,1;1;2023/05/28;Sun;May;16;Weekend;16:36:13.000;Evening
Astoria;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea;5,1;1;2023/05/28;Sun;May;17;Weekend;17:18:25.000;Evening
Lower Manhattan;Coffee;Ouro Brasileiro shot;Barista Espresso;3;1;2023/05/29;Mon;May;8;Weekday;08:08:37.000;Morning
Hell's Kitchen;Coffee;Cappuccino Lg;Barista Espresso;4,25;1;2023/05/29;Mon;May;8;Weekday;08:16:20.000;Morning
Lower Manhattan;Coffee;Jamaican Coffee River Sm;Premium brewed coffee;4,9;1;2023/05/29;Mon;May;8;Weekday;08:56:39.000;Morning
Lower Manhattan;Tea;English Breakfast Lg;Brewed Black tea;6;1;2023/05/29;Mon;May;9;Weekday;09:35:05.000;Morning
Hell's Kitchen;Bakery;Hazelnut Biscotti;Biscotti;3,25;1;2023/05/29;Mon;May;10;Weekday;10:55:52.000;Morning
Astoria;Coffee;Brazilian Sm;Organic brewed coffee;2,2;1;2023/05/29;Mon;May;12;Weekday;12:12:44.000;Afternoon
Hell's Kitchen;Coffee;Ethiopia Sm;Gourmet brewed coffee;4,4;1;2023/05/29;Mon;May;12;Weekday;12:19:29.000;Afternoon
Hell's Kitchen;Coffee;Cappuccino;Barista Espresso;3,75;1;2023/05/29;Mon;May;12;Weekday;12:27:50.000;Afternoon
Hell's Kitchen;Bakery;Ginger Scone;Scone;3,25;1;2023/05/29;Mon;May;12;Weekday;12:41:01.000;Afternoon
Lower Manhattan;Bakery;Almond Croissant;Pastry;3,75;1;2023/05/29;Mon;May;13;Weekday;13:19:47.000;Afternoon
Hell's Kitchen;Coffee;Ouro Brasileiro shot;Barista Espresso;3;1;2023/05/29;Mon;May;15;Weekday;15:26:46.000;Afternoon
Hell's Kitchen;Tea;Peppermint Lg;Brewed herbal tea;3;1;2023/05/29;Mon;May;15;Weekday;15:46:51.000;Afternoon
Hell's Kitchen;Coffee;Jamaican Coffee River Sm;Premium brewed coffee;4,9;1;2023/05/29;Mon;May;19;Weekday;19:23:25.000;Evening
Hell's Kitchen;Tea;Lemon Grass Rg;Brewed herbal tea;2,5;1;2023/05/29;Mon;May;19;Weekday;19:33:28.000;Evening
Astoria;Coffee;Cappuccino;Barista Espresso;7,5;1;2023/05/30;Tue;May;7;Weekday;07:08:40.000;Morning
Lower Manhattan;Flavours;Chocolate syrup;Regular syrup;0,8;1;2023/05/30;Tue;May;7;Weekday;07:47:52.000;Morning
Astoria;Coffee;Columbian Medium Roast Lg;Gourmet brewed coffee;3;1;2023/05/30;Tue;May;7;Weekday;07:56:20.000;Morning
Hell's Kitchen;Tea;Lemon Grass Rg;Brewed herbal tea;5;1;2023/05/30;Tue;May;8;Weekday;08:03:28.000;Morning
Astoria;Coffee;Latte Rg;Barista Espresso;8,5;1;2023/05/30;Tue;May;8;Weekday;08:17:09.000;Morning
Astoria;Bakery;Chocolate Chip Biscotti;Biscotti;3,5;1;2023/05/30;Tue;May;8;Weekday;08:21:40.000;Morning
Lower Manhattan;Tea;Lemon Grass Rg;Brewed herbal tea;2,5;1;2023/05/30;Tue;May;9;Weekday;09:00:00.000;Morning
Astoria;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate;3,75;1;2023/05/30;Tue;May;9;Weekday;09:01:31.000;Morning
Astoria;Bakery;Croissant;Pastry;3,5;1;2023/05/30;Tue;May;9;Weekday;09:38:45.000;Morning
Astoria;Tea;Earl Grey Rg;Brewed Black tea;2,5;1;2023/05/30;Tue;May;10;Weekday;10:21:29.000;Morning
Lower Manhattan;Flavours;Carmel syrup;Regular syrup;0,8;1;2023/05/30;Tue;May;10;Weekday;10:34:35.000;Morning
Astoria;Coffee;Cappuccino;Barista Espresso;7,5;1;2023/05/30;Tue;May;10;Weekday;10:57:24.000;Morning
Astoria;Coffee;Brazilian Sm;Organic brewed coffee;4,4;1;2023/05/30;Tue;May;11;Weekday;11:04:09.000;Morning
Lower Manhattan;Coffee;Ethiopia Rg;Gourmet brewed coffee;3;1;2023/05/30;Tue;May;11;Weekday;11:09:48.000;Morning
Lower Manhattan;Tea;Morning Sunrise Chai Lg;Brewed Chai tea;4;1;2023/05/30;Tue;May;12;Weekday;12:22:06.000;Afternoon
Astoria;Coffee;Our Old Time Diner Blend Lg;Drip coffee;3;1;2023/05/30;Tue;May;12;Weekday;12:34:00.000;Afternoon
Lower Manhattan;Bakery;Cranberry Scone;Scone;3,25;1;2023/05/30;Tue;May;13;Weekday;13:48:20.000;Afternoon
Astoria;Coffee;Ethiopia Lg;Gourmet brewed coffee;7;1;2023/05/30;Tue;May;14;Weekday;14:03:19.000;Afternoon
Lower Manhattan;Bakery;Almond Croissant;Pastry;3,75;1;2023/05/30;Tue;May;14;Weekday;14:28:51.000;Afternoon
Hell's Kitchen;Bakery;Ginger Biscotti;Biscotti;3,5;1;2023/05/30;Tue;May;16;Weekday;16:02:16.000;Evening
Astoria;Bakery;Ginger Biscotti;Biscotti;3,5;1;2023/05/30;Tue;May;17;Weekday;17:34:03.000;Evening
Astoria;Coffee;Columbian Medium Roast Lg;Gourmet brewed coffee;6;1;2023/05/30;Tue;May;17;Weekday;17:44:00.000;Evening
Astoria;Drinking Chocolate;Dark chocolate Rg;Hot chocolate;3,5;1;2023/05/31;Wed;May;7;Weekday;07:09:45.000;Morning
Lower Manhattan;Flavours;Chocolate syrup;Regular syrup;1,6;1;2023/05/31;Wed;May;8;Weekday;08:06:11.000;Morning
Hell's Kitchen;Coffee;Jamaican Coffee River Lg;Premium brewed coffee;7,5;1;2023/05/31;Wed;May;8;Weekday;08:21:02.000;Morning
Hell's Kitchen;Bakery;Chocolate Croissant;Pastry;3,75;1;2023/05/31;Wed;May;8;Weekday;08:26:34.000;Morning
Lower Manhattan;Coffee;Our Old Time Diner Blend Rg;Drip coffee;5;1;2023/05/31;Wed;May;9;Weekday;09:03:07.000;Morning
Astoria;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate;3,75;1;2023/05/31;Wed;May;9;Weekday;09:07:06.000;Morning
Hell's Kitchen;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee;5;1;2023/05/31;Wed;May;9;Weekday;09:20:53.000;Morning
Lower Manhattan;Bakery;Jumbo Savory Scone;Scone;3,75;1;2023/05/31;Wed;May;9;Weekday;09:55:28.000;Morning
Hell's Kitchen;Coffee;Cappuccino Lg;Barista Espresso;4,25;1;2023/05/31;Wed;May;11;Weekday;11:12:05.000;Morning
Astoria;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee;2;1;2023/05/31;Wed;May;14;Weekday;14:20:27.000;Afternoon
Hell's Kitchen;Coffee;Ethiopia Lg;Gourmet brewed coffee;7;1;2023/06/01;Thu;Jun;8;Weekday;08:17:27.000;Morning
Lower Manhattan;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea;2,55;1;2023/06/01;Thu;Jun;9;Weekday;09:11:06.000;Morning
Lower Manhattan;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea;5,1;1;2023/06/01;Thu;Jun;9;Weekday;09:13:15.000;Morning
Hell's Kitchen;Bakery;Hazelnut Biscotti;Biscotti;3,25;1;2023/06/01;Thu;Jun;10;Weekday;10:38:16.000;Morning
Lower Manhattan;Tea;Serenity Green Tea Rg;Brewed Green tea;2,5;1;2023/06/01;Thu;Jun;11;Weekday;11:42:44.000;Morning
Lower Manhattan;Bakery;Hazelnut Biscotti;Biscotti;3,25;1;2023/06/01;Thu;Jun;14;Weekday;14:05:18.000;Afternoon
Hell's Kitchen;Tea;Morning Sunrise Chai Lg;Brewed Chai tea;4;1;2023/06/01;Thu;Jun;14;Weekday;14:23:28.000;Afternoon
Lower Manhattan;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee;5;1;2023/05/31;Wed;May;12;Weekday;12:12:53.000;Afternoon
Hell's Kitchen;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate;9,5;1;2023/06/01;Thu;Jun;15;Weekday;15:13:10.000;Afternoon
Astoria;Tea;Peppermint Rg;Brewed herbal tea;5;1;2023/06/01;Thu;Jun;15;Weekday;15:55:09.000;Afternoon
Hell's Kitchen;Tea;English Breakfast Rg;Brewed Black tea;5;1;2023/06/01;Thu;Jun;16;Weekday;16:05:53.000;Evening
Astoria;Bakery;Ginger Biscotti;Biscotti;3,5;1;2023/06/01;Thu;Jun;16;Weekday;16:24:40.000;Evening
Astoria;Coffee;Ethiopia Lg;Gourmet brewed coffee;3,5;1;2023/06/01;Thu;Jun;16;Weekday;16:40:18.000;Evening
Hell's Kitchen;Coffee;Ethiopia Sm;Gourmet brewed coffee;4,4;1;2023/06/01;Thu;Jun;17;Weekday;17:05:09.000;Evening
Hell's Kitchen;Coffee;Brazilian Lg;Organic brewed coffee;3,5;1;2023/06/01;Thu;Jun;17;Weekday;17:45:21.000;Evening
Astoria;Tea;Morning Sunrise Chai Rg;Brewed Chai tea;5;1;2023/06/01;Thu;Jun;18;Weekday;18:16:21.000;Evening
Hell's Kitchen;Coffee;Ethiopia Lg;Gourmet brewed coffee;3,5;1;2023/06/01;Thu;Jun;18;Weekday;18:21:13.000;Evening
Lower Manhattan;Coffee;Our Old Time Diner Blend Lg;Drip coffee;3;1;2023/06/02;Fri;Jun;7;Weekday;07:25:59.000;Morning
Hell's Kitchen;Drinking Chocolate;Dark chocolate Rg;Hot chocolate;3,5;1;2023/06/02;Fri;Jun;8;Weekday;08:24:08.000;Morning
Lower Manhattan;Bakery;Hazelnut Biscotti;Biscotti;3,25;1;2023/06/02;Fri;Jun;8;Weekday;08:27:32.000;Morning
Hell's Kitchen;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate;9,5;1;2023/06/02;Fri;Jun;10;Weekday;10:55:38.000;Morning
Astoria;Bakery;Cranberry Scone;Scone;3,25;1;2023/06/02;Fri;Jun;11;Weekday;11:04:21.000;Morning
Astoria;Tea;Traditional Blend Chai Lg;Brewed Chai tea;6;1;2023/06/02;Fri;Jun;11;Weekday;11:06:46.000;Morning
Astoria;Tea;Traditional Blend Chai Rg;Brewed Chai tea;5;1;2023/06/02;Fri;Jun;11;Weekday;11:18:25.000;Morning
Astoria;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate;3,75;1;2023/06/02;Fri;Jun;12;Weekday;12:28:25.000;Afternoon
Hell's Kitchen;Coffee;Brazilian Rg;Organic brewed coffee;3;1;2023/06/02;Fri;Jun;12;Weekday;12:32:28.000;Afternoon
Astoria;Bakery;Oatmeal Scone;Scone;3;1;2023/06/02;Fri;Jun;12;Weekday;12:52:33.000;Afternoon
Astoria;Tea;Earl Grey Rg;Brewed Black tea;5;1;2023/06/02;Fri;Jun;13;Weekday;13:42:26.000;Afternoon
Hell's Kitchen;Coffee;Jamaican Coffee River Lg;Premium brewed coffee;7,5;1;2023/06/02;Fri;Jun;14;Weekday;14:35:12.000;Afternoon
Lower Manhattan;Coffee;Ethiopia Rg;Gourmet brewed coffee;6;1;2023/06/02;Fri;Jun;14;Weekday;14:35:40.000;Afternoon
Lower Manhattan;Tea;English Breakfast Lg;Brewed Black tea;6;1;2023/06/02;Fri;Jun;14;Weekday;14:38:13.000;Afternoon
Hell's Kitchen;Tea;Serenity Green Tea Lg;Brewed Green tea;3;1;2023/06/02;Fri;Jun;14;Weekday;14:50:55.000;Afternoon
Astoria;Coffee;Brazilian Sm;Organic brewed coffee;4,4;1;2023/06/02;Fri;Jun;15;Weekday;15:11:44.000;Afternoon
Astoria;Tea;Earl Grey Lg;Brewed Black tea;6;1;2023/06/02;Fri;Jun;16;Weekday;16:42:11.000;Evening
Hell's Kitchen;Coffee;Brazilian Sm;Organic brewed coffee;4,4;1;2023/06/02;Fri;Jun;17;Weekday;17:14:31.000;Evening
Astoria;Coffee;Brazilian Lg;Organic brewed coffee;7;1;2023/06/02;Fri;Jun;17;Weekday;17:29:00.000;Evening
Lower Manhattan;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate;3,75;1;2023/06/02;Fri;Jun;18;Weekday;18:01:44.000;Evening
Astoria;Coffee;Our Old Time Diner Blend Sm;Drip coffee;2;1;2023/06/02;Fri;Jun;19;Weekday;19:38:46.000;Evening
Hell's Kitchen;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate;3,75;1;2023/06/03;Sat;Jun;8;Weekend;08:37:26.000;Morning
Lower Manhattan;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee;2;1;2023/06/03;Sat;Jun;10;Weekend;10:03:51.000;Morning
Lower Manhattan;Bakery;Cranberry Scone;Scone;3,25;1;2023/06/03;Sat;Jun;11;Weekend;11:31:00.000;Morning
Hell's Kitchen;Tea;Lemon Grass Lg;Brewed herbal tea;3;1;2023/06/03;Sat;Jun;11;Weekend;11:51:18.000;Morning
Astoria;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate;9,5;1;2023/06/03;Sat;Jun;12;Weekend;12:31:00.000;Afternoon
Lower Manhattan;Tea;Lemon Grass Lg;Brewed herbal tea;3;1;2023/06/03;Sat;Jun;13;Weekend;13:31:04.000;Afternoon
Hell's Kitchen;Coffee;Ouro Brasileiro shot;Barista Espresso;6;1;2023/06/03;Sat;Jun;14;Weekend;14:29:21.000;Afternoon
Lower Manhattan;Coffee;Jamaican Coffee River Rg;Premium brewed coffee;6,2;1;2023/06/03;Sat;Jun;15;Weekend;15:01:31.000;Afternoon
Astoria;Coffee;Cappuccino Lg;Barista Espresso;8,5;1;2023/06/03;Sat;Jun;15;Weekend;15:24:48.000;Afternoon
Astoria;Coffee;Jamaican Coffee River Sm;Premium brewed coffee;4,9;1;2023/06/03;Sat;Jun;16;Weekend;16:11:39.000;Evening
Hell's Kitchen;Coffee;Ethiopia Lg;Gourmet brewed coffee;3,5;1;2023/06/03;Sat;Jun;16;Weekend;16:41:45.000;Evening
Astoria;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate;7,5;1;2023/06/03;Sat;Jun;17;Weekend;17:22:39.000;Evening
Hell's Kitchen;Coffee;Espresso shot;Barista Espresso;6;1;2023/06/03;Sat;Jun;17;Weekend;17:41:38.000;Evening
Astoria;Tea;Peppermint Lg;Brewed herbal tea;6;1;2023/06/03;Sat;Jun;18;Weekend;18:07:17.000;Evening
Astoria;Coffee;Ethiopia Rg;Gourmet brewed coffee;3;1;2023/06/03;Sat;Jun;18;Weekend;18:14:16.000;Evening
Lower Manhattan;Bakery;Chocolate Croissant;Pastry;3,75;1;2023/06/03;Sat;Jun;18;Weekend;18:25:04.000;Evening
Hell's Kitchen;Tea;Serenity Green Tea Rg;Brewed Green tea;5;1;2023/06/03;Sat;Jun;18;Weekend;18:41:08.000;Evening
Astoria;Bakery;Jumbo Savory Scone;Scone;3,75;1;2023/06/03;Sat;Jun;18;Weekend;18:45:31.000;Evening
Lower Manhattan;Coffee;Our Old Time Diner Blend Rg;Drip coffee;2,5;1;2023/06/04;Sun;Jun;8;Weekend;08:25:11.000;Morning
Lower Manhattan;Tea;Serenity Green Tea Rg;Brewed Green tea;5;1;2023/06/04;Sun;Jun;9;Weekend;09:22:53.000;Morning
Hell's Kitchen;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee;4;1;2023/06/04;Sun;Jun;11;Weekend;11:01:26.000;Morning
Lower Manhattan;Coffee;Espresso shot;Barista Espresso;3;1;2023/06/04;Sun;Jun;11;Weekend;11:06:11.000;Morning
Hell's Kitchen;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee;5;1;2023/06/04;Sun;Jun;11;Weekend;11:31:06.000;Morning
Astoria;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee;5;1;2023/06/04;Sun;Jun;11;Weekend;11:31:36.000;Morning
Lower Manhattan;Coffee;Brazilian Lg;Organic brewed coffee;7;1;2023/06/04;Sun;Jun;11;Weekend;11:46:17.000;Morning
Astoria;Tea;Traditional Blend Chai Rg;Brewed Chai tea;5;1;2023/06/04;Sun;Jun;12;Weekend;12:04:51.000;Afternoon
Hell's Kitchen;Coffee;Brazilian Sm;Organic brewed coffee;4,4;1;2023/06/04;Sun;Jun;12;Weekend;12:09:15.000;Afternoon
Hell's Kitchen;Tea;Earl Grey Rg;Brewed Black tea;2,5;1;2023/06/04;Sun;Jun;12;Weekend;12:20:36.000;Afternoon
Astoria;Bakery;Hazelnut Biscotti;Biscotti;3,25;1;2023/06/04;Sun;Jun;12;Weekend;12:40:59.000;Afternoon
Astoria;Drinking Chocolate;Dark chocolate Lg;Hot chocolate;9;1;2023/06/04;Sun;Jun;14;Weekend;14:09:36.000;Afternoon
Hell's Kitchen;Coffee;Jamaican Coffee River Sm;Premium brewed coffee;4,9;1;2023/06/04;Sun;Jun;14;Weekend;14:20:07.000;Afternoon
Hell's Kitchen;Coffee;Ethiopia Sm;Gourmet brewed coffee;2,2;1;2023/06/04;Sun;Jun;14;Weekend;14:36:34.000;Afternoon
Hell's Kitchen;Bakery;Jumbo Savory Scone;Scone;3,75;1;2023/06/04;Sun;Jun;16;Weekend;16:44:43.000;Evening
Lower Manhattan;Bakery;Croissant;Pastry;3,5;1;2023/06/05;Mon;Jun;10;Weekday;10:20:56.000;Morning
Astoria;Coffee;Brazilian Rg;Organic brewed coffee;3;1;2023/06/03;Sat;Jun;19;Weekend;19:31:03.000;Evening
Lower Manhattan;Tea;Traditional Blend Chai Rg;Brewed Chai tea;2,5;1;2023/06/04;Sun;Jun;12;Weekend;12:14:40.000;Afternoon
Lower Manhattan;Coffee;Ethiopia Rg;Gourmet brewed coffee;3;1;2023/06/05;Mon;Jun;10;Weekday;10:57:46.000;Morning
Astoria;Tea;English Breakfast Lg;Brewed Black tea;3;1;2023/06/05;Mon;Jun;11;Weekday;11:11:06.000;Morning
Astoria;Bakery;Oatmeal Scone;Scone;3;1;2023/06/05;Mon;Jun;12;Weekday;12:31:06.000;Afternoon
Astoria;Coffee;Latte;Barista Espresso;3,75;1;2023/06/05;Mon;Jun;12;Weekday;12:35:02.000;Afternoon
Astoria;Bakery;Chocolate Chip Biscotti;Biscotti;3,5;1;2023/06/05;Mon;Jun;12;Weekday;12:55:11.000;Afternoon
Lower Manhattan;Bakery;Chocolate Chip Biscotti;Biscotti;3,5;1;2023/06/05;Mon;Jun;14;Weekday;14:45:05.000;Afternoon
Hell's Kitchen;Tea;Earl Grey Rg;Brewed Black tea;5;1;2023/06/05;Mon;Jun;14;Weekday;14:51:32.000;Afternoon
Lower Manhattan;Tea;Serenity Green Tea Lg;Brewed Green tea;6;1;2023/06/05;Mon;Jun;15;Weekday;15:21:39.000;Afternoon
Astoria;Bakery;Almond Croissant;Pastry;3,75;1;2023/06/05;Mon;Jun;16;Weekday;16:37:07.000;Evening
Astoria;Tea;Traditional Blend Chai Lg;Brewed Chai tea;6;1;2023/06/05;Mon;Jun;16;Weekday;16:42:30.000;Evening
Hell's Kitchen;Coffee;Ethiopia Rg;Gourmet brewed coffee;3;1;2023/06/05;Mon;Jun;18;Weekday;18:03:43.000;Evening
Astoria;Coffee;Jamaican Coffee River Rg;Premium brewed coffee;3,1;1;2023/06/05;Mon;Jun;18;Weekday;18:55:56.000;Evening
Astoria;Coffee;Ethiopia Rg;Gourmet brewed coffee;3;1;2023/06/05;Mon;Jun;19;Weekday;19:31:06.000;Evening
Astoria;Bakery;Cranberry Scone;Scone;3,25;1;2023/06/05;Mon;Jun;19;Weekday;19:57:49.000;Evening
Hell's Kitchen;Tea;Lemon Grass Rg;Brewed herbal tea;2,5;1;2023/06/06;Tue;Jun;10;Weekday;10:46:00.000;Morning
Hell's Kitchen;Tea;English Breakfast Lg;Brewed Black tea;3;1;2023/06/06;Tue;Jun;10;Weekday;10:49:04.000;Morning
Lower Manhattan;Tea;English Breakfast Lg;Brewed Black tea;3;1;2023/06/06;Tue;Jun;11;Weekday;11:01:35.000;Morning
Hell's Kitchen;Coffee;Jamaican Coffee River Rg;Premium brewed coffee;6,2;1;2023/06/06;Tue;Jun;12;Weekday;12:10:16.000;Afternoon
Hell's Kitchen;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee;5;1;2023/06/06;Tue;Jun;12;Weekday;12:50:50.000;Afternoon
Hell's Kitchen;Coffee;Cappuccino Lg;Barista Espresso;8,5;1;2023/06/06;Tue;Jun;13;Weekday;13:08:23.000;Afternoon
Lower Manhattan;Coffee;Ethiopia Sm;Gourmet brewed coffee;2,2;1;2023/06/06;Tue;Jun;15;Weekday;15:42:29.000;Afternoon
Astoria;Coffee;Brazilian Rg;Organic brewed coffee;3;1;2023/06/06;Tue;Jun;16;Weekday;16:31:01.000;Evening
Hell's Kitchen;Tea;Serenity Green Tea Lg;Brewed Green tea;6;1;2023/06/06;Tue;Jun;17;Weekday;17:06:57.000;Evening
Astoria;Bakery;Almond Croissant;Pastry;3,75;1;2023/06/06;Tue;Jun;17;Weekday;17:57:26.000;Evening
Lower Manhattan;Tea;Spicy Eye Opener Chai Lg;Brewed Chai tea;3,1;1;2023/06/06;Tue;Jun;18;Weekday;18:19:15.000;Evening
Astoria;Tea;Lemon Grass Lg;Brewed herbal tea;6;1;2023/06/06;Tue;Jun;18;Weekday;18:37:07.000;Evening
Astoria;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee;4;1;2023/06/06;Tue;Jun;19;Weekday;19:11:51.000;Evening
Hell's Kitchen;Coffee;Our Old Time Diner Blend Lg;Drip coffee;3;1;2023/06/06;Tue;Jun;19;Weekday;19:47:32.000;Evening
Astoria;Bakery;Jumbo Savory Scone;Scone;3,75;1;2023/06/07;Wed;Jun;7;Weekday;07:36:57.000;Morning
Lower Manhattan;Tea;Morning Sunrise Chai Rg;Brewed Chai tea;5;1;2023/06/07;Wed;Jun;7;Weekday;07:37:21.000;Morning
Lower Manhattan;Tea;Morning Sunrise Chai Lg;Brewed Chai tea;8;1;2023/06/07;Wed;Jun;8;Weekday;08:25:03.000;Morning
Lower Manhattan;Tea;Serenity Green Tea Rg;Brewed Green tea;5;1;2023/06/07;Wed;Jun;8;Weekday;08:48:41.000;Morning
Lower Manhattan;Tea;Earl Grey Lg;Brewed Black tea;3;1;2023/06/07;Wed;Jun;9;Weekday;09:20:00.000;Morning
Hell's Kitchen;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea;2,55;1;2023/06/07;Wed;Jun;9;Weekday;09:28:49.000;Morning
Lower Manhattan;Tea;Peppermint Rg;Brewed herbal tea;2,5;1;2023/06/07;Wed;Jun;9;Weekday;09:31:57.000;Morning
Lower Manhattan;Loose Tea;Peppermint;Herbal tea;8,95;1;2023/06/07;Wed;Jun;10;Weekday;10:01:19.000;Morning
Hell's Kitchen;Coffee;Our Old Time Diner Blend Sm;Drip coffee;4;1;2023/06/07;Wed;Jun;10;Weekday;10:42:18.000;Morning
Hell's Kitchen;Coffee;Brazilian Sm;Organic brewed coffee;2,2;1;2023/06/07;Wed;Jun;10;Weekday;10:48:54.000;Morning
Hell's Kitchen;Flavours;Carmel syrup;Regular syrup;1,6;1;2023/06/07;Wed;Jun;11;Weekday;11:23:45.000;Morning
Astoria;Tea;Serenity Green Tea Lg;Brewed Green tea;6;1;2023/06/07;Wed;Jun;13;Weekday;13:14:09.000;Afternoon
Astoria;Bakery;Scottish Cream Scone ;Scone;4,5;1;2023/06/07;Wed;Jun;15;Weekday;15:29:23.000;Afternoon
Astoria;Coffee;Brazilian Rg;Organic brewed coffee;3;1;2023/06/07;Wed;Jun;15;Weekday;15:39:25.000;Afternoon
Astoria;Tea;Peppermint Lg;Brewed herbal tea;3;1;2023/06/07;Wed;Jun;16;Weekday;16:17:25.000;Evening
Astoria;Tea;English Breakfast Lg;Brewed Black tea;3;1;2023/06/07;Wed;Jun;17;Weekday;17:23:16.000;Evening
Hell's Kitchen;Tea;Lemon Grass Rg;Brewed herbal tea;5;1;2023/06/08;Thu;Jun;6;Weekday;06:38:15.000;Morning
Astoria;Coffee;Espresso shot;Barista Espresso;3;1;2023/06/08;Thu;Jun;7;Weekday;07:14:48.000;Morning
Astoria;Drinking Chocolate;Dark chocolate Lg;Hot chocolate;4,5;1;2023/06/08;Thu;Jun;7;Weekday;07:40:51.000;Morning
Lower Manhattan;Coffee;Our Old Time Diner Blend Lg;Drip coffee;3;1;2023/06/08;Thu;Jun;7;Weekday;07:53:28.000;Morning
Lower Manhattan;Flavours;Sugar Free Vanilla syrup;Sugar free syrup;1,6;1;2023/06/08;Thu;Jun;8;Weekday;08:14:41.000;Morning
Astoria;Coffee;Our Old Time Diner Blend Lg;Drip coffee;6;1;2023/06/08;Thu;Jun;8;Weekday;08:40:28.000;Morning
Hell's Kitchen;Flavours;Carmel syrup;Regular syrup;1,6;1;2023/06/08;Thu;Jun;8;Weekday;08:56:45.000;Morning
Hell's Kitchen;Tea;Spicy Eye Opener Chai Lg;Brewed Chai tea;6,2;1;2023/06/08;Thu;Jun;8;Weekday;08:57:49.000;Morning
Hell's Kitchen;Tea;English Breakfast Lg;Brewed Black tea;3;1;2023/06/08;Thu;Jun;9;Weekday;09:14:15.000;Morning
Lower Manhattan;Flavours;Hazelnut syrup;Regular syrup;1,6;1;2023/06/08;Thu;Jun;10;Weekday;10:18:34.000;Morning
Lower Manhattan;Tea;Serenity Green Tea Rg;Brewed Green tea;5;1;2023/06/08;Thu;Jun;10;Weekday;10:31:23.000;Morning
